Finds_numb,N,19,11	Phase,C,254	X,N,19,11	Y,N,19,11	Z,N,19,11	Location,C,254	SiteCode,C,254	Trench,C,254	Context,C,254	Grid,C,254	Type,C,254	Species,C,254	Element,C,254	Side,C,254	Preservati,C,254	Informatio,N,19,11	Taphonomy,C,254	JellyBone,C,254	Measuremen,C,254	Action,C,254	ZooMsID,C,254	Notes,C,254
87801	Dryland	502802.596	481012.216	24.803	185	SC07	SC24	48	0	Bone	Aurochs	Unidentified	 -	D	1	Fragmentary; desiccated	No	 -	ZooMs	SC280	Fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and fragmentary. There appears to be little to no cortical bone remaining on any of the fragments.
87820	Dryland	502803.209	481013.732	24.945	185	SC07	SC24	85	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary	No	 -	 -	0	Tiny fragments of bone that are too small to identify to species or element. The bag contains mostly soil. Found by C. Conneller in with a flint.
89120	Dryland	502833.8958	481010.7089	24.696903	No sample left	SC08	SC23	125	I2	Bone	Aurochs	Metapodial	0	D	1	 -	 -	 -	ZooMs	SC04	ID by ZooMs. Large metapodial fragment.
89139	Dryland	502835.3426	481009.3781	24.755776	188	SC08	SC23	125	K1	Bone	Aurochs	Unidentified	 -	D	1	Fragmentary; desiccated; fragile	No	 -	ZooMs	SC05	Small fragment of bone that is too poorly preserved to allow for species or element to be identified. Species ID by ZooMs. The bone is desiccated and very crumbly. Little to no cortical bone survives.
89140	Dryland	502833.9794	481010.7991	24.749969	188	SC08	SC23	125	I2	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary; burnt	No	 -	ZooMs	SC06	Fragments of burnt bone that do not retain enough detail to allow for identifications of species or element. Sampled for ZooMs but it failed.
89152	Dryland	502830.3063	481009.7497	24.776544	188	SC08	SC23	125	F1	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; root etched	No	 -	ZooMs	SC07	Small fragments of bone that appear to partially refit. It appears to be a section of large mammal long bone however not enough survives to be able to identify it to the specific element. Species ID by ZooMs. The bone is desiccated and very fragmentary.
89177	Dryland	502835.3254	481010.9355	24.866327	188	SC08	SC23	125	K2	Bone	Cervid sp.	Ulna frag?	 -	D	2	Fragmentary; desiccated; root etching	No	 -	ZooMs	SC08	Small frgament of a large mammal long bone. The cross-sectional shape suggests it may be a midshaft fragment of an ulna. Species ID by ZooMs. The bone is desiccated and fragmentary. There is root etching on the cortical bone surface.
89191	Dryland	502835.037	481007.2995	24.650242	188	SC08	SC23	125	J1	Bone	Aurochs	Femur frag?	 -	C	2	Desiccated; fragmentary; delamination; root action; spiral fracture	No	 -	ZooMs	SC09	Large fragment of bone that appears to be a large mammal long bone fragment. The cortical bone has completely flake away which has removed the identifiable characteristics. Species ID by ZooMs. The cross-sectional shape suggests it may be from a femur mi
89197	Dryland	502832.4378	481009.9448	24.775813	188	SC08	SC23	125	H1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; root etched	No	 -	ZooMs	SC10	Small fragments of bone that do not retain enough detail to allow for an identification of species or element. Species ID by ZooMs. The bone is desiccated and fragmentary. Any cortical bone remaining is root etched.
89200	Dryland	502832.5017	481009.7982	24.742091	188	SC08	SC23	125	H1	Bone	Cervid sp.	Metapodial?	 -	D	2	Fragmentary; desiccated; compressed; root etched; spiral fracture; ?percussion break	No	 -	ZooMs	SC11	Fragments of a large mammal long bone. In the ground it was thought to be a possible metapodial, although it was incredibly compressed. The specimen is very fragmentary and it is impossible to refit it. Species ID by ZooMs. The cortical bone is root etch
89315	Dryland	502838.218	481009.4241	24.743625	191	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary; bone stain; desiccated; cracking; root action	No	 -	 -	0	Fragments of bone that are too poorly preserved to identify to species or element; basically a bone stain that was block lifted. The bone is very desiccated and cracks have occurred throughout the fragment as a result. There are also roots growing throug
89319	Dryland	502835.1437	481009.2209	24.715869	188	SC08	SC23	125	J1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; root etching; excavation damage	No	 -	ZooMs	SC12	Small fragments of bone that are too degraded to allow for an identification of species or element. Species ID by ZooMs. The bone is desiccated and there is clear root etching on the fragments of bone that retain their cortical bone. The specimen fragmen
89400	Dryland	502837.2049	481007.8336	24.740366	188	SC08	SC23	125	G2	Bone	Cervid sp.	Femur frag?	 -	D	2	Fragmentary; desiccated; root etchinng; excavation damage; percussion point; spiral fracture	No	 -	ZooMs	SC13	Fragments of bone that appear to represent a section of large mammal long bone midshaft. Species ID by ZooMs. The cross-sectional shape and remaining morphology suggest it is possibly from a femur (distal end; possibly part of a supracondyloid fossa). Th
89427	Dryland	502831.8544	481009.4766	24.742174	188	SC08	SC23	125	G1	Bone	Aurochs	Rib	 -	C	3	Fragmentary; desiccated; root action; compression	No	 -	ZooMs	SC14	Midshaft section of a large mammal rib. Species ID by ZooMs. The bone is very desiccated and fragmentary. Roots have grown throughout and there is little to no cortical bone remaining. There appears to be some compression too. Found in the ground associa
89465	Dryland	502832.2539	481010.6647	24.783787	No sample left	SC08	SC23	125	H2	Bone	Unidentified	Unidentified	0	D	1	Fragmentary	 -	 -	ZooMs	SC15	ZooMs fail. Numerous small fragments.
89474	Dryland	502830.9007	481011.5996	24.806811	188	SC08	SC23	125	F3	Bone	Cervid sp.	Long bone frag?	 -	D	1	Fragmentary; fragile; desiccated; root action; excavation damage	No	 -	ZooMs	SC16	Fragments of bone that further fragmented on excavation and lifting. Species ID by ZooMs. The fragments are supported only by soil. Thought to be a section of large mammal long bone shaft however the preservation is particularly poor. The bone is desicca
89506	Dryland	502838.3718	481009.1655	24.795554	179	SC07	SC23	48	0	Antler	Red deer	Tine	 -	D	2	Desiccated; post-dep modification; excavation damage; trowel scars; root etching	No	 -	 -	0	The antler is very desiccated and fragmentary however it has been conserved by YAT and glued back together. The antler has lost its surface detail however there is some root etching and also obvious areas of excavation damage and trowel scars. The surfac
89506	Dryland	502838.3718	481009.1655	24.795554	187	SC08	SC23	125	N1	Bone	Cervid sp.	Humerus	Right	C	3	Fragmentary; desiccated; fragile; cracking; root etching; excavation damage; rounded; post-dep damage	No	 -	ZooMs	SC17	Large fragments of bone that are very desiccated and fragile. Species ID by ZooMs, however the fragments are large enough, refit, and retain enough detail to identify this as a partial distal humerus. Due to the desiccation the specimen is cracking and i
89507	Dryland	502837.4388	481010.5861	24.862711	188	SC08	SC23	125	M1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; fragile; root action	No	 -	ZooMs	SC18	Small fragments that are not well enough preserved to allow for an identification of species or element. Species ID by ZooMs. The bone is fragmentary; fragile and very desiccated. Some evidence of root action including root etching on the small amount of
89508	Dryland	502838.8758	481009.3687	24.799452	188	SC08	SC23	125	N1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; root action; fragile; ?spiral fracture; excavation damage	No	 -	ZooMs	SC19	Small fragments of a large mammal long bone midshaft. The specimen isn't well enough preserved to be able to identify it to species or element. The bone is very fragmentary, desiccated and fragile. Species ID by ZooMs. Root etching on the cortical bone s
89520	Dryland	502836.8564	481010.9794	24.876036	188	SC08	SC23	125	I2	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; excavation damage	No	 -	ZooMs	SC20	Tiny fragments of bone that are too small to be identified to species or element. Specimen was sampled for ZooMs however it failed. The bone is very fragmentary, fragile and also desiccated. There is little to no cortical bone remaining. The specimen fra
89527	Dryland	502833.8631	481008.109	24.69425	188	SC08	SC23	125	J1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; root action; cracking	No	 -	ZooMs	SC21	Fragments of very degraded bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated, fragmentary and roots have grown throughout. Due to the desiccation the bone has cracked and split. There is lit
89544	Dryland	502834.0301	481008.2969	24.715418	187	SC08	SC23	125	0	Bone	Cervid sp.	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC22	Completely used up during ZooMs, only an empty bag remaining. Species ID by ZooMs. Only soil remains in the bag.
89545	Dryland	502835.0455	481008.8955	24.736721	187	SC08	SC23	125	J1	Bone	Unidentified	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC23	Completely used up during ZooMs, only an empty bag remaining. ZooMs sampled failed. Only soil remains in the bag.
89579	Dryland	502834.0195	481007.7368	24.686022	188	SC08	SC23	125	J2	Bone	Aurochs	Unidentified	 -	D	1	Desiccated; fragmentary; root action	No	 -	ZooMs	SC24	Small fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated and there are roots growing throughout. The cortical bone that survives is very root etched.
89673	Dryland	502831.4701	481009.7378	24.787952	188	SC08	SC23	125	H1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; root action	No	 -	ZooMs	SC25	Fragments of bone that are too poorly preserved to identify them to species or element. Species ID by ZooMs. The fragments are very poorly degraded; they are desiccated, fragile, fragmentary, and there are roots growing throughout. Little to no surface s
89717	Dryland	502834.2094	481011.0348	24.837158	188	SC08	SC23	125	J2	Bone	Cervid sp.	Unidentified	 -	D	1	Burnt; fragmentary; cracking	No	 -	ZooMs	SC26	Fragment of bone that is too small to allow for an identification to species or element. Species ID by ZooMs. The specimen has clearly been burnt as both the outer and inner surfaces of the bone are blackened. Small cracks on the bone surface.
89791	Dryland	502831.3266	481010.8786	24.781218	No sample left	SC08	SC23	125	G2	Bone	Elk	Maxilla	0	0	0	 -	No	 -	ZooMs	SC27	Maxillary tooth row containing permanent premolar 2, P3, P4, permanent molar 1 and M2. All teeth are permanent rather than deciduous and in wear. Excellent enamel preservation, some bone remains but is very degraded. These are very large, Elk? Need to ma
89855	Dryland	502833.6226	481009.061	24.663206	No sample left	SC08	SC23	125	I1	Bone	Beaver	Incisor	0	0	0	 -	 -	 -	ZooMs	SC28	ZooMs fail.
89963	Dryland	0	0	0	188	SC08	SC23	144	J2	Bone	Cervid sp.	Molar	 -	D	2	Fragmentary; fragile; cracking	No	 -	ZooMs	SC29	Fragments of a large ungulate molar. The specimen is too poorly preserved to identify to species or specific tooth. Species ID by ZooMs. Due to the preservation it is not possible to identify whether this is a fully formed tooth either. The specimen is f
89971	Dryland	502830.8928	481011.1572	24.822745	188	SC08	SC23	125	F3	Bone	Large mammal sp.	Long bone frag.	 -	D	2	Burnt; desiccated; warped?; cracking	No	 -	ZooMs	SC30	Fragment of burnt bone. Thought to be a fragment of large mammal long bone; possibly a metapodial due to the cross-sectional shape. This is very speculative however as the shape may have been warped/altered by the burning process. The specimen is blacken
89979	Dryland	502838.1244	481009.1515	24.707595	188	SC08	SC23	125	M1	Bone	Cervid sp.	Ulna frag?	 -	D	2	Fragmentary; desiccated; root action; post-dep modification; excavation damage	No	 -	ZooMs	SC31	Fragments of bone that are very poorly preserved, however the cross-sectional shape suggests it may be a section of ulna midshaft. Species ID by ZooMs. The bone is very desiccated and fragmentary, and there are roots growing throughout the specimen. Litt
90027	Dryland	502838.766	481007.548	24.676884	188	SC08	SC23	125	N2	Bone	Wild boar	Long bone frag.	0	C	2	Desiccated; fragmentary; root action; cracking; fragile	No	 -	ZooMs	SC32	Fragments of a large mammal long bone; the cross-sectional shape suggests it is possibly a metapodial. Species ID by ZooMs. The bone is desiccated and there are roots growing throughout. Due to the desiccation the bone is very fragmentary and fragile. Th
90041	Dryland	502833.2701	481011.4578	24.785987	188	SC08	SC23	125	H3	Bone	Cervid sp.	Pelvis frag.?	 -	D	2	Fragmentary; desiccated; root action; excavation damage	No	 -	ZooMs	SC33	Fragment of bone that is too small to identify confidently to species or element. Possibly a fragment of ?pelvis? Species ID by ZooMs. The bone is desiccated and there is some root etching on the cortical bone. There also appear to be some roots growing
90047	Dryland	502835.3926	481007.6246	24.66526	188	SC08	SC23	125	K2	Tooth	Cervid sp.	Molar	 -	C	2	Fragmentary; root action; excavation damage	No	 -	ZooMs	SC34	Species ID by ZooMs. Small fragment with some small pieces of bone in association. One of the maxillary molars, however the preservation is not good enough to distinguish. From the low crown and relatively small size this is probably red deer, but morpho
90120	Dryland	502836.6451	481006.8554	24.570659	187	SC08	SC23	125	L3	Antler	Cervid sp.	Pedicle	 -	D	1	Fragmentary	No	 -	ZooMs	SC35	Species ID by ZooMs. Skull fragment attached. Large specimen. Badly degraded. Maybe antler crown. All used up during sampling, only an empty bag remains.
90150	Dryland	502834.2486	481008.4865	24.669341	188	SC08	SC23	125	J1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; fragile; root action; rounded; post-dep modification	No	 -	ZooMs	SC36	Small fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone appears desiccated and is very fragmentary and fragile. Little to no cortical bone survives and there appears to be quite a bit of root
90233	Dryland	502838.5534	481009.5035	24.8165	188	SC08	SC23	125	I2	Antler	Cervid sp.	Antler	0	C	3	Fragmentary; compressed; root action; ?working	No	 -	ZooMs	SC37	Species ID by ZooMs. Appears to be slightly flattened. Completely fell a part when rebagged. Length 110mm, width (at widest) 40mm, depth 20mcm. Substantial fragment of antler oriented N/S. Northern end clean diagonal cut across width of antler- presumed
90239	Dryland	502833.7304	481011.1487	24.78011	188	SC08	SC23	125	I2	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; fragile; root action; spiral fracture?	No	 -	ZooMs	SC38	Fragments of a large mammal long bone. Species ID by ZooMs. The bone that is desiccated, fragile and fragmentary. Main fragment (1) length 60mm, width 30mm, depth 10mm. This specimen fragmented further on excavation and lifting. There appear to be roots
90240	Dryland	502833.8311	481011.04	24.783878	188	SC08	SC23	125	I2	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; root action	No	 -	ZooMs	SC39	Small fragment of bone that is too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated and there is root etching on the exposed surfaces.
90241	Dryland	502833.7331	481010.6623	24.766772	188	SC08	SC23	125	I2	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary; ?cutmark; desiccated	No	 -	ZooMs	SC40	Small piece. Short fragment of bone- surface condition suggests it is original bone surface. NE edge a clean corner, close to 90 degrees, SW edge far more rounded. Possibly fibula/tibia, but seems too thin- more likely to be radius/ulna. Point of interes
90242	Dryland	502835.661	481018.0476	24.789239	188	SC08	SC23	125	K9	Bone	Unidentified	Unidentified	0	D	1	 -	 -	c.50mm	ZooMs	SC41	ZooMs fail. Flattened piece. Length 50mm, width 30mm, depth 1-4 mm. Heavily weathered bone fragment, surface . Pitted possibly not original surface. Slightly convex, curvature not tight enough for long bones etc. Thin flat bone with slight curvature, sca
90243	Dryland	502836.2314	481009.6694	24.822772	188	SC08	SC23	125	L1	Bone	Aurochs	Humerus frag?	-	C	3	Fragmentary; desiccated; cracking; root action; delamination; spiral fracture; longitudinally split	No	 -	ZooMs	SC42	Fragments of a large mammal long bone; cross-sectional shape suggests a possible ID of humerus midshaft. Species ID by ZooMs. The bone is desiccated causing cracks to appear and for the specimen to be very fragmentary. There are clearly roots growing thr
90244	Dryland	502836.3243	481009.727	24.816628	188	SC08	SC23	125	L1	Bone	Cervid sp.	Long bone frag.	 -	D	1	Fragmentary; desiccated; root action; delamination; bone stain	No	 -	ZooMs	SC43	ID by ZooMs. Bone shadow held together by soil. Extremely degraded bone, no visible surface. Due to the size most probably the end of larger long bone- humerus/femur- proximal/distal distinction unclear. In close association with 90243. The bone is desic
90524	Dryland	502839.3043	481007.6986	24.69292	188	SC08	SC23	125	O2	Bone	Large mammal sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; fragile; cracking; root action; excavation damage	No	 -	ZooMs	SC44	Fragment of large mammal long bone. The preservation is too poor to beable to identify it more specifically to species or element. Sampled for ZooMs however the sampled failed. The bone is desiccated and fragmentary, and there are cracks in all of the bo
90557	Dryland	502833.0338	481009.971	24.748704	188	SC08	SC23	125	I1	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; fragile; root action; excavation damage	No	 -	ZooMs	SC45	Fragment of large mammal long bone. Preservation is not good enough to identify this specimen to the specific element. Species ID by ZooMs. The bone is very fragmentary and fragile; it also appears desiccated. Little to no cortical bone survives but the
90560	Dryland	502833.0492	481010.0653	24.732502	188	SC08	SC23	125	I1	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; cracking; root action	No	 -	ZooMs	SC46	Fragments of a large mammal long bone; possibly a section of ?radius? midshaft. Species ID by ZooMs. The bone is desiccated and there are longitudinal cracks throughout the specimen as a result. Very little cortical bone remains but the surface does show
90562	Dryland	502831.7946	481011.5491	24.953715	188	SC08	SC23	125	G3	Bone	Aurochs	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; cracking; root action; rounding; post-dep modification	No	 -	ZooMs	SC47	Small fragments of bone that are not well enough preserved to identify them to species or element. Species ID by ZooMs. The bone is fragmentary and fragile as a result of desiccation. There are cracks in the bone and roots have etched the bone surface. T
90591	Dryland	502832.6536	481010.5658	24.750499	188	SC08	SC23	125	H2	Bone	Large mammal sp.	Long bone frag.	 -	D	2	Desiccated; cracking; fragile; fragmentary; root action; rounded; post-dep modification; excavation damage	No	 -	ZooMs	SC48	Fragments of a large mammal long bone midshaft. The bone is desiccated and cracking and brittle as a result. There is some root etching and root action on each fragment. The edges of the specimen are rounded suggesting post-depositional processes and the
90600	Dryland	502832.8662	481009.2875	24.692481	187	SC08	SC23	125	H1	Bone	Cervid sp.	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC49	Species ID by ZooMs. Very small fragment of bone (<1cm). Very rounded specimen, unidentified. Sample completely used during sampling; only an empty bag remains.
90615	Dryland	502833.7461	481009.1147	24.669594	188	SC08	SC23	125	I1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; rounded; post-dep modification; excavation damage	No	 -	ZooMs	SC50	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated, fragmentary and fragile. The fragments are also rounded suggesting post-depositional processes. The specimen fragmented more on exc
90617	Dryland	502833.8277	481009.2612	24.689053	187	SC08	??	??	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary	No	 -	ZooMs	SC51	Species ID by ZooMs. Very small fragment. Completely used up during ZooMs, only an empty bag remaining.
90618	Dryland	502833.6814	481009.153	24.669241	188	SC08	SC23	??	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated	 -	 -	ZooMs	SC52	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and little to no cortical bone remains. Very fragmentary and fragile.
90642	Dryland	502832.3197	481011.1352	24.935254	188	SC08	SC23	125	H2	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; excavation damage; root action	No	 -	ZooMs	SC53	Small fragments of bone that can not be identified to species or element as not enough of the morphological features remain. Species ID by ZooMs. The bone is desiccated and only a small amount of cortical bone survives. There appears to have been some br
90643	Dryland	502832.307	481011.1087	24.925148	188	SC08	SC23	125	H2	Bone	Cervid sp.	Radius frag?	 -	C	2	Desiccated; root etching; excavation damage; spiral fracture; longitudinally split?; rounded; post-dep modification	No	 -	ZooMs	SC54	Fragment of bone from a large mammal; possibly a radius from the cross-sectional shape. Species ID by ZooMs. The cortical bone is very root etched and desiccated. There is some modern damage to one of the break edges from excavation and lifting. The spec
90650	Dryland	0	0	0	188	SC08	SC23	125	H3	Bone	Cervid sp.	Tibia frag?	 -	C	2	Desiccated; cracking; root etching; excavation damage; longitudinally split	No	 -	ZooMs	SC55	Large fragment of bone that appears to be a section of midshaft from a large mammal long bone. Possibly from a tibia due to the cross-sectional shape. Species ID by ZooMs. The bone is desiccated and there are longitudinal cracks appearing as a result. Th
90699	Dryland	502832.8561	481010.34	24.748463	188	SC08	SC23	125	J1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; post-dep breakage	No	 -	ZooMs	SC56	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and fragile. Breakage appears to be post-depositional.
90712	Dryland	502832.7469	481010.254	24.888391	188	SC08	SC23	125	H2	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; fragile; rounded; post-dep modification	No	 -	ZooMs	SC57	Small fragments of bone that cannot be identified to species or element due to their small size. Species ID by ZooMs. The bone is fragmentary and fragile with little to no cortical bone surviving. The edges of the bone fragments are rounded and smoothed
90785	Dryland	502834.0324	481010.2229	24.776239	188	SC08	SC23	125	I1	Tooth	Wild Boar	2nd incisor	Right	B	4	Excavation damage; post-dep breakage	No	 -	ZooMs	SC58	Partial mandibular incisor of a wild boar; the root has broken off and is missing. The tooth has broken at the distal end on excavation and lifting. There is little to no wear on the occlusial surface that remains.
90786	Dryland	502833.8697	481011.0623	24.905294	No sample left	SC08	SC23	125	I2	Bone	Unidentified	Unidentified	0	D	1	Fragmentary	 -	 -	ZooMs	SC59	ZooMs fail. Numerous small fragments, one slightly larger at c.6cm
90805	Dryland	502833.7982	481010.2034	24.742183	No sample left	SC08	SC23	125	I1	Bone	Unidentified	Unidentified	0	D	1	Fragmentary	 -	 -	ZooMs	SC60	ZooMs fail. Small fragments
90820	Dryland	502834.5736	481009.8554	24.756088	No sample left	SC08	SC23	125	J1	Bone	Unidentified	Unidentified	0	D	1	Fragmentary	 -	 -	ZooMs	SC61	ZooMs fail. Tiniest fragment remains.
90823	Dryland	502834.1255	481011.5677	24.817829	188	SC08	SC23	125	I3	Bone	Cervid sp.	Long bone frag.	 -	C	2	Fragmentary; desiccated; excavation damage; rounding; post-dep modification; root action	No	 -	ZooMs	SC62	Fragments of the midshaft of a large mammal long bone. Species ID by ZooMs. The bone is desiccated and very fragmentary; and it further fragmented on excavation and lifting. There is little to no cortical bone remaining. There are roots growing throughou
90824	Dryland	502834.2804	481009.8046	24.711187	187	SC08	??	??	0	Bone	Cervid sp.	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC63	Species ID by ZooMs. Completely used up during ZooMs, only an empty bag remaining.
90825	Dryland	502834.2883	481009.9088	24.739209	188	SC08	SC23	125	J1	Bone	Wild boar	Unidentified	 -	D	1	Fragmentary; desiccated; fragile; root etching; excavation damage	No	 -	ZooMs	SC64	Small fragments of bone that do not appear to refit and are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and very fragmentary and fragile. The cortical bone is root etched. Further fragmentation has occurred on
90931	Dryland	502835.8656	481012.2463	24.87604	188	SC08	SC23	125	K7	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; excavation damage	No	 -	ZooMs	SC65	Very small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and further fragmentation has occurred on excavation and lifting.
90953	Dryland	502833.7342	481010.4709	24.731226	188	SC08	SC23	125	I2	Tooth	Red Deer	Premolar	Right	B	4	Robust; post-dep damage	No	 -	ZooMs	SC66	Partial right permanent maxillary 2nd premolar of a red deer. The tooth is fairly robust however there is some post-depositional damage to the distal root and it is missing. There is also some damage to one edge of the enamel with a section missing on th
90964	Dryland	502833.7403	481010.4665	24.731013	188	SC08	SC23	125	I2	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; post-dep damage; excavation damage; desiccated	No	 -	ZooMs	SC67	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The majority of the breakage appears post-depositional however there is some clear modern damage, likely occurring during excavation and lifting. The bone
90965	Dryland	502834.309	481010.5958	24.777747	188	SC08	SC23	125	J2	Bone	Large mammal sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; fragile; cracking; root action; excavation damage	No	 -	ZooMs	SC68	Fragment of large mammal long bone midshaft. Sampled for ZooMs but the sample failed. The bone is desiccated, fragmentary and fragile. There are cracks and breaks in the bone due to the desiccation and also root action. There is some modern damage likely
90966	Dryland	502834.0518	481010.5822	24.770763	No sample left	SC08	SC23	125	I2	Bone	Cervid sp.	Unidentified	0	D	1	 -	 -	 -	ZooMs	SC69	ID by ZooMs.
90967	Dryland	502833.695	481010.7089	24.728422	188	SC08	SC23	125	I2	Bone	Cervid sp.	Unidentified	0	D	1	Fragmentary; desiccated; cracking; root etching; post-dep breakage; excavation damage	No	 -	ZooMs	SC70	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and there are cracks and breaks due to this. The cortical bone is root etched and the breakage appears post-depositional. There is s
91009	Dryland	502834.083	481009.1498	24.668092	188	SC08	SC23	125	I1	Bone	Red Deer	Mandible	Left	C	3	Fragmentary; desiccated; fragile; root etched; delaminating; post-dep breakage; excavation damage	No	 -	ZooMs	SC71	Partial mandible of a red deer. The teeth include the 1st, 2nd and 3rd molars; all three of which are premanent teeth. Small amount of mandible present too however it is very fragmentary and is a large number of fragments. The bone is desiccated and very
91031	Dryland	502834.0067	481010.3614	24.759371	188	SC08	SC23	125	I2	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; fragile; cracking; root etching; post-dep breakage; excavation damage	No	 -	ZooMs	SC72	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated, fragmentary, fragile and cracking. The cortical bone that remains on the fragments appears to be root etched. The brekaage appears
91038	Dryland	502831.7763	481012.4844	24.758554	188	SC08	SC23	125	G4	Bone	Wild boar	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; excavation damage	No	 -	ZooMs	SC73	Small fragments of bone that are too poorly preserved to allow for an identification of species or element. Species ID by ZooMs. The bone is very fragmentary and fragile as a result of desiccation. The specimen fragmented further on excavation and liftin
91039	Dryland	502836.1259	481011.0298	24.848671	188	SC08	SC23	125	K2	Bone	Aurochs	Unidentified	 -	D	1	Fragmentary; desiccated; fragile; excavation damage	No	 -	ZooMs	SC74	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is very desiccated and is fragile and fragmentary as a result. The fragmentation has been exacerbated by excavation and lifting.
91041	Dryland	502837.4576	481008.6931	24.7433	188	SC08	SC23	125	M1	Bone	Cervid sp.	Long bone frag.	 -	D	1	Fragmentary; desiccated; fragile; root etching; excavation damage; longitudinally split?	No	 -	ZooMs	SC75	Fragments of a large mammal long bone. There is not enough morphological detail retained to allow for an identification to specific element. Species ID by ZooMs. The bone is desiccated and as a result cracking, fragmentary and fragile. The cortical bone
91062	Dryland	502835.3615	481010.9537	24.85412	188	SC08	SC23	125	K2	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; cracking; excavation damage; root etching; rounded; post-dep modification; ?debitage	No	 -	ZooMs	SC76	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and cracks have occurred in the bone as a result. There is some modern damage that likely occurred on excavation and lifting. The co
91063	Dryland	502835.3342	481011.8403	24.853618	188	SC08	SC23	125	K3	Bone	Cervid sp.	Long bone frag.	 -	D	1	Fragmentary; desiccated; fragile; root etched; excavation damage	No	 -	ZooMs	SC77	Fragments of bone from a large mammal long bone. Species ID by ZooMs. The bone is desiccated and also very fragmented and fragile as a result. The bone is root etched  and has further fragmented on excavation and lifting.
91119	Dryland	502834.6144	481008.2928	24.651187	187	SC08	SC23	125	J1	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary	No	 -	ZooMs	SC78	Species ID by ZooMs. Completely used up during ZooMs, only an empty bag remaining.
91129	Dryland	502834.5053	481008.608	24.639696	188	SC08	SC23	125	J1	Bone	Large mammal sp.	Humerus frag?	 -	D	2	Robust; burnt; polished; percussion breakage/scalloping; spiral fracture?	No	 -	ZooMs	SC79	Small fragment of bone from a large mammal long bone (possible a humerus). Sampled for ZooMs however the sample failed. The specimen is burnt/ heated with some blackening of one side. The surface of the fragment is very polished and smooth, mostly on the
